source_team_key	canonical_key	canonical_team_id	classification	legacy_members
legacy_dim_team:967981353920	component:354	3000000000908	merge	354,967981353920,1047930966050
legacy_dim_team:1047930966050	component:354	3000000000908	merge	354,967981353920,1047930966050
legacy_dim_team:3545	component:3545	3000000000909	separate	3545
legacy_dim_team:3546	component:3546	3000000000910	separate	3546
legacy_dim_team:3547	component:3547	3000000000911	separate	3547
legacy_dim_team:35528	component:35528	3000000000912	separate	35528
legacy_dim_team:3562	component:3562	3000000000913	merge	3562,910000000146,1020782562436,1035213466375,1044923752386
legacy_dim_team:910000000146	component:3562	3000000000913	merge	3562,910000000146,1020782562436,1035213466375,1044923752386
legacy_dim_team:1020782562436	component:3562	3000000000913	merge	3562,910000000146,1020782562436,1035213466375,1044923752386
legacy_dim_team:1035213466375	component:3562	3000000000913	merge	3562,910000000146,1020782562436,1035213466375,1044923752386
legacy_dim_team:1044923752386	component:3562	3000000000913	merge	3562,910000000146,1020782562436,1035213466375,1044923752386
legacy_dim_team:3579	component:3579	3000000000914	separate	3579
legacy_dim_team:3599	component:3599	3000000000915	merge	3599,1014025525071
legacy_dim_team:1014025525071	component:3599	3000000000915	merge	3599,1014025525071
legacy_dim_team:360	component:360	3000000000916	separate	360
legacy_dim_team:3608	component:3608	3000000000917	merge	3608,1014913114946
legacy_dim_team:1014913114946	component:3608	3000000000917	merge	3608,1014913114946
legacy_dim_team:361	component:361	3000000000918	merge	361,910000000901,1001340270410,1005122065481,1042790146443
legacy_dim_team:910000000901	component:361	3000000000918	merge	361,910000000901,1001340270410,1005122065481,1042790146443
legacy_dim_team:1001340270410	component:361	3000000000918	merge	361,910000000901,1001340270410,1005122065481,1042790146443
legacy_dim_team:1005122065481	component:361	3000000000918	merge	361,910000000901,1001340270410,1005122065481,1042790146443
legacy_dim_team:1042790146443	component:361	3000000000918	merge	361,910000000901,1001340270410,1005122065481,1042790146443
legacy_dim_team:3672	component:3672	3000000000919	merge	3672,1001576587842
legacy_dim_team:1001576587842	component:3672	3000000000919	merge	3672,1001576587842
legacy_dim_team:3678	component:3678	3000000000920	merge	3678,981569908472
legacy_dim_team:981569908472	component:3678	3000000000920	merge	3678,981569908472
legacy_dim_team:368	component:368	3000000000921	separate	368
legacy_dim_team:3682	component:3682	3000000000922	merge	3682,1002578503434,1020310456456,1059066905527
legacy_dim_team:1002578503434	component:3682	3000000000922	merge	3682,1002578503434,1020310456456,1059066905527
legacy_dim_team:1020310456456	component:3682	3000000000922	merge	3682,1002578503434,1020310456456,1059066905527
legacy_dim_team:1059066905527	component:3682	3000000000922	merge	3682,1002578503434,1020310456456,1059066905527
