coach_identity_id,provider,provider_coach_id,coach_name,missing_reason,current_image_url,source_ref,source_status,source_file_name,source_url,source_error
96,sportmonks,18932187,Martí Cifuentes Corvillo,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
98,sportmonks,455489,Mark Robins,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
104,sportmonks,7330518,Francisco García Pimienta,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
105,sportmonks,456409,Luis Carrión Delgado,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
106,sportmonks,13183,Simon Rusk,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
107,sportmonks,384,Darren Moore,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
111,sportmonks,1272,Tom Cleverley,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
112,sportmonks,37552530,Leam Richardson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
116,sportmonks,323316,Chris Davies,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
117,sportmonks,10127,Paul Heckingbottom,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,Q7151218,missing_source_url,,,wikidata entity has no P18 image
119,sportmonks,120469,John Russell,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
120,sportmonks,455357,Karl Robinson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
122,sportmonks,127483,Daniele De Rossi,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
124,sportmonks,1334,Shaun Maloney,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
125,sportmonks,9882,Graham Coughlan,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
126,sportmonks,37664990,Alfred Johansson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
128,sportmonks,524236,Darrell Clarke,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
130,sportmonks,2141,Matt Sadler,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
131,sportmonks,78952,Michal Gašparík,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
134,sportmonks,13633409,Andrei,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
137,sportmonks,7464,Matt Bloomfield,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
138,sportmonks,460535,Daniel Farke,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
139,sportmonks,6983785,Phil Parkinson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
142,sportmonks,4713,Stephen Clemence,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
144,sportmonks,491,Ian Ross Evatt,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
145,sportmonks,37633958,Michael Beale,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,Q112339753,missing_source_url,,,wikidata entity has no P18 image
146,sportmonks,2146,John Eustace,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
147,sportmonks,1552477,Tim Walter,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
149,sportmonks,3873,Harry Kewell,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
151,sportmonks,37523743,Eric Roy,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
