competition_key,season,team_id,promotable_match_teams,review_needed_match_teams,blocked_conflict_match_teams
copa_do_brasil,2022,6468,0,2,0
copa_do_brasil,2022,6544,0,2,0
copa_do_brasil,2022,6764,0,2,0
copa_do_brasil,2022,9804,0,2,0
copa_do_brasil,2022,11126,0,2,0
copa_do_brasil,2023,696,0,2,0
copa_do_brasil,2023,3478,0,2,0
brasileirao_b,2024,6468,0,2,0
libertadores,2021,175,0,2,0
libertadores,2021,9398,0,2,0
libertadores,2022,9398,0,2,0
premier_league,2022,15,0,2,0
premier_league,2022,42,0,2,0
brasileirao_b,2024,11126,0,1,0
brasileirao_b,2025,6468,0,1,0
copa_do_brasil,2023,30117,0,1,0
copa_do_brasil,2021,6764,0,1,0
brasileirao_a,2025,3684,0,1,0
copa_do_brasil,2023,9181,0,1,0
copa_do_brasil,2023,6764,0,1,0
copa_do_brasil,2023,6468,0,1,0
copa_do_brasil,2023,5463,0,1,0
copa_do_brasil,2021,6036,0,1,0
copa_do_brasil,2023,1024,0,1,0
copa_do_brasil,2023,710,0,1,0
copa_do_brasil,2022,9181,0,1,0
copa_do_brasil,2022,3523,0,1,0
copa_do_brasil,2022,2352,0,1,0
brasileirao_a,2023,3684,0,1,0
copa_do_brasil,2022,710,0,1,0
copa_do_brasil,2021,2352,0,1,0
champions_league,2022,676,0,1,0
copa_do_brasil,2021,14992,0,1,0
copa_do_brasil,2021,11126,0,1,0
copa_do_brasil,2021,9323,0,1,0
brasileirao_b,2024,2352,0,1,0
copa_do_brasil,2021,9804,0,1,0
brasileirao_b,2024,710,0,1,0
brasileirao_b,2022,692,0,1,0
primeira_liga,2023,364,0,0,11
la_liga,2021,1099,0,0,1
