competition_key,season,team_id,matches,covered_by_external_dated_fact,coverage_pct
brasileirao_a,2021,3496,38,0,0.0
brasileirao_a,2021,3621,38,0,0.0
brasileirao_a,2021,3684,38,0,0.0
brasileirao_a,2021,5463,38,0,0.0
brasileirao_a,2021,6325,38,0,0.0
brasileirao_a,2021,7808,38,0,0.0
brasileirao_a,2021,8331,38,0,0.0
brasileirao_a,2021,12220,38,0,0.0
brasileirao_a,2022,48,38,0,0.0
brasileirao_a,2022,303,38,0,0.0
brasileirao_a,2022,1024,38,0,0.0
brasileirao_a,2022,1095,38,0,0.0
brasileirao_a,2022,2696,38,0,0.0
brasileirao_a,2022,2864,38,0,0.0
brasileirao_a,2022,3422,38,0,0.0
brasileirao_a,2022,3427,38,0,0.0
brasileirao_a,2022,3432,38,0,0.0
brasileirao_a,2022,3496,38,0,0.0
brasileirao_a,2022,3621,38,0,0.0
brasileirao_a,2022,3684,38,0,0.0
brasileirao_a,2022,5463,38,0,0.0
brasileirao_a,2022,6285,38,0,0.0
brasileirao_a,2022,6325,38,0,0.0
brasileirao_a,2022,6468,38,0,0.0
brasileirao_a,2022,7808,38,0,0.0
brasileirao_a,2022,8331,38,0,0.0
brasileirao_a,2022,9323,38,0,0.0
brasileirao_a,2022,12220,38,0,0.0
brasileirao_a,2023,303,38,0,0.0
brasileirao_a,2023,692,38,0,0.0
brasileirao_a,2023,696,38,0,0.0
brasileirao_a,2023,1024,38,0,0.0
brasileirao_a,2023,1095,38,0,0.0
brasileirao_a,2023,2696,38,0,0.0
brasileirao_a,2023,2864,38,0,0.0
brasileirao_a,2023,2925,38,0,0.0
brasileirao_a,2023,3371,38,0,0.0
brasileirao_a,2023,3422,38,0,0.0
brasileirao_a,2023,3427,38,0,0.0
brasileirao_a,2023,3432,38,0,0.0
brasileirao_a,2023,3496,38,0,0.0
brasileirao_a,2023,3621,38,0,0.0
brasileirao_a,2023,3684,38,0,0.0
brasileirao_a,2023,5463,38,0,0.0
brasileirao_a,2023,6285,38,0,0.0
brasileirao_a,2023,6325,38,0,0.0
brasileirao_a,2023,7808,38,0,0.0
brasileirao_a,2023,9323,38,0,0.0
brasileirao_a,2024,48,38,0,0.0
brasileirao_a,2024,303,38,0,0.0
brasileirao_a,2024,692,38,0,0.0
brasileirao_a,2024,696,38,0,0.0
brasileirao_a,2024,1024,38,0,0.0
brasileirao_a,2024,1095,38,0,0.0
brasileirao_a,2024,2696,38,0,0.0
brasileirao_a,2024,2864,38,0,0.0
brasileirao_a,2024,2925,38,0,0.0
brasileirao_a,2024,3371,38,0,0.0
brasileirao_a,2024,3422,38,0,0.0
brasileirao_a,2024,3427,38,0,0.0
brasileirao_a,2024,3432,38,0,0.0
brasileirao_a,2024,3440,38,0,0.0
brasileirao_a,2024,3496,38,0,0.0
brasileirao_a,2024,3621,38,0,0.0
brasileirao_a,2024,5463,38,0,0.0
brasileirao_a,2024,6036,38,0,0.0
brasileirao_a,2024,7808,38,0,0.0
brasileirao_a,2024,8331,38,0,0.0
brasileirao_a,2025,48,38,0,0.0
brasileirao_a,2025,303,38,0,0.0
brasileirao_a,2025,692,38,0,0.0
brasileirao_a,2025,696,38,0,0.0
brasileirao_a,2025,1024,38,0,0.0
brasileirao_a,2025,1095,38,0,0.0
brasileirao_a,2025,2352,38,0,0.0
brasileirao_a,2025,2696,38,0,0.0
brasileirao_a,2025,2864,38,0,0.0
brasileirao_a,2025,2925,38,0,0.0
brasileirao_a,2025,3371,38,0,0.0
brasileirao_a,2025,3422,38,0,0.0
brasileirao_a,2025,3427,38,0,0.0
brasileirao_a,2025,3440,38,0,0.0
brasileirao_a,2025,3496,38,0,0.0
brasileirao_a,2025,3621,38,0,0.0
brasileirao_a,2025,3684,38,0,0.0
brasileirao_a,2025,7808,38,0,0.0
brasileirao_a,2025,11126,38,0,0.0
brasileirao_a,2025,12220,38,0,0.0
brasileirao_b,2021,696,38,0,0.0
brasileirao_b,2021,2864,38,0,0.0
brasileirao_b,2021,3371,38,0,0.0
brasileirao_b,2021,3440,38,0,0.0
brasileirao_b,2021,3672,38,0,0.0
brasileirao_b,2021,3847,38,0,0.0
brasileirao_b,2021,3931,38,0,0.0
brasileirao_b,2021,6188,38,0,0.0
brasileirao_b,2021,6285,38,0,0.0
brasileirao_b,2021,6304,38,0,0.0
brasileirao_b,2021,6468,38,0,0.0
