competition_key,season,season_label,matches,start_year,home_ppg,away_ppg,home_advantage_ppg,home_win_rate,draw_rate,away_win_rate,home_goals_per_match,away_goals_per_match
argentina_primera_division,2012,2012,188,2012,1.574468085106383,1.0957446808510638,0.4787234042553192,0.4148936170212766,0.32978723404255317,0.2553191489361702,1.2819148936170213,0.9308510638297872
argentina_primera_division,2013,2013,383,2013,1.6475195822454307,1.0208877284595301,0.6266318537859008,0.4386422976501306,0.33159268929503916,0.2297650130548303,1.3002610966057442,0.9112271540469974
argentina_primera_division,2014,2014,382,2014,1.6518324607329844,1.0785340314136125,0.5732984293193717,0.4607329842931937,0.2696335078534031,0.2696335078534031,1.3455497382198953,0.9921465968586387
argentina_primera_division,2015,2015,469,2015,1.556503198294243,1.140724946695096,0.4157782515991471,0.417910447761194,0.302771855010661,0.279317697228145,1.2686567164179106,0.9616204690831557
argentina_primera_division,2016,2016,452,2016,1.663716814159292,1.0398230088495575,0.6238938053097345,0.4557522123893805,0.29646017699115046,0.24778761061946902,1.336283185840708,1.0
argentina_primera_division,2017,2017,406,2017,1.5960591133004927,1.167487684729064,0.42857142857142855,0.45320197044334976,0.23645320197044334,0.3103448275862069,1.2733990147783252,1.0394088669950738
argentina_primera_division,2018,2018,399,2018,1.6466165413533835,1.0526315789473684,0.5939849624060151,0.44862155388471175,0.3007518796992481,0.2506265664160401,1.2832080200501252,0.9624060150375939
argentina_primera_division,2019,2019,328,2019,1.545731707317073,1.170731707317073,0.375,0.42073170731707316,0.28353658536585363,0.29573170731707316,1.25,1.024390243902439
argentina_primera_division,2020,2020,193,2020,1.3626943005181347,1.3471502590673574,0.015544041450777202,0.35751295336787564,0.29015544041450775,0.35233160621761656,1.217616580310881,1.1865284974093264
argentina_primera_division,2021,2021,527,2021,1.5616698292220115,1.146110056925996,0.4155597722960152,0.42314990512333966,0.2922201138519924,0.2846299810246679,1.394686907020873,1.092979127134725
argentina_primera_division,2022,2022,581,2022,1.5800344234079173,1.1153184165232357,0.46471600688468157,0.42512908777969016,0.3046471600688468,0.270223752151463,1.2943201376936317,1.0309810671256454
argentina_primera_division,2023,2023,582,2023,1.6701030927835052,0.9948453608247423,0.6752577319587629,0.44501718213058417,0.33505154639175255,0.21993127147766323,1.1941580756013745,0.8333333333333334
argentina_primera_division,2024,2024,440,2024,1.6022727272727273,1.084090909090909,0.5181818181818182,0.42954545454545456,0.31363636363636366,0.25681818181818183,1.2227272727272727,0.9090909090909091
austrian_bundesliga,2012,2012,99,2012,1.5454545454545454,1.2727272727272727,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.36363636363636365,1.7474747474747474,1.3535353535353536
austrian_bundesliga,2013,2013,185,2013,1.5513513513513513,1.162162162162162,0.3891891891891892,0.42162162162162165,0.2864864864864865,0.2918918918918919,1.7891891891891891,1.4216216216216215
austrian_bundesliga,2014,2014,171,2014,1.5321637426900585,1.2163742690058479,0.3157894736842105,0.4269005847953216,0.25146198830409355,0.3216374269005848,1.7777777777777777,1.3333333333333333
austrian_bundesliga,2015,2015,185,2015,1.7675675675675675,1.0054054054054054,0.7621621621621621,0.5135135135135135,0.22702702702702704,0.2594594594594595,1.6864864864864866,1.1567567567567567
austrian_bundesliga,2016,2016,180,2016,1.5777777777777777,1.1944444444444444,0.38333333333333336,0.45,0.22777777777777777,0.32222222222222224,1.4,1.2166666666666666
austrian_bundesliga,2017,2017,180,2017,1.7333333333333334,1.0333333333333334,0.7,0.5,0.23333333333333334,0.26666666666666666,1.5444444444444445,1.1833333333333333
