decade,matches,seasons,competitions,home_goals_per_match,away_goals_per_match,home_win_rate,draw_rate,away_win_rate,home_advantage_ppg,home_advantage_ci_low,home_advantage_ci_high
2000,58883,199,21,1.491737853030586,1.0993835232579863,0.4587402136440059,0.2709101098789124,0.2703496764770817,0.5475241679801981,0.5165475573418048,0.5785007786185914
2010,96702,344,38,1.4936505966784555,1.156139480052119,0.4463092800562553,0.26395524394531655,0.28973547599842814,0.4591978432254777,0.4371511779795695,0.4812445084713859
2020,52185,200,38,1.4731244610520264,1.190686979016959,0.43205902079141517,0.26346651336590976,0.3044744658426751,0.3715451298555836,0.34426194821925427,0.3988283114919129
